,Distribution:,Features:,Life form:,Origin:,Pathways:,What is at risk:,disease_image,disease_name,disease_url
10,"USA, Canada, Mexico, Guatemala, Honduras","Yellowing, stunted or abnormal growth, ulcers,",Bacterium,Mexico,"Imported plant propagative material, insect  vectors",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/11-zebra-chip.jpg,Zebra chip,http://www.agriculture.gov.au/pests-diseases-weeds/plant/zebra-chip
11,"Africa (Egypt, Eritrea, Ethiopia, Kenya, Mozambique,  Rwanda, Tanzania,","Reddish brown, powdery, oblong spore-producing  pustules characteristic",Fungus,Uganda,"Trade/movement of infected plants, windblown  spores",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/12-ug99.jpg,Ug99 (Wheat stem rust),http://www.agriculture.gov.au/pests-diseases-weeds/plant/ug99
12,"Asia, Middle East, Africa, North America,","Light green, elongated spindle-shaped aphid, adult  up",Insect,Central Asia and southern Russia,"Movement of infected plants and equipment,  windblown",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/13-russian-wheat-aphid.jpg,Russian wheat aphid (holocyclic form)​,http://www.agriculture.gov.au/pests-diseases-weeds/plant/russian-wheat-aphid
13,"Africa, Asia, Middle East, North & South America,","Forms lesions on fruit, leaves and branches, causing  dieback",Bacterium,South East Asia,"Movement of infected plant material, rainstorms,  wind blown",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/14-citrus-canker.jpg,Citrus canker,http://www.agriculture.gov.au/pests-diseases-weeds/plant/citrus-canker
14,"Central America and Caribbean, United States  (Florida,","Yellowish pustules on young leaves, shoots,  stems",Fungus,Brazil,"Plant propagative material, contaminant on  clothing",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/15-guava-eucalyptus-rust.jpg,Guava (Eucalyptus) rust,http://www.agriculture.gov.au/pests-diseases-weeds/plant/guava-eucalyptus-rust
15,North America and Europe,"Oomycete causing leaf spots, shoot/branch dieback and stem cankers which often ooze dark red sap and have a fermentation odour, necrosis, plant death",Oomycete,Asia,"Air spores, clothes/shoes, equipment, plant trade, green waste, animals",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/16.airborne-phytophthora.jpg,Phytophthora blight,http://www.agriculture.gov.au/pests-diseases-weeds/plant/phytophthora-blight
16,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/16-phytophthora-blight.jpg,Phytophthora blight/sudden oak death,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/sudden-oak-death/
17,"Asia, Africa, Middle East, North and South","Various sizes up to 2cm, striped abdomens, often",Insect,"Varies, depending on the species",,"Honey, honey products, pollination-reliant",http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/17-exotic-bees.jpg,Exotic bees,http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-bees
18,"South East Asia, Middle East, southern Africa,",The fungus attacks the banana's vascular system,Fungus,South East Asia,"Illegal imports, equipment, soil, clothing",,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/18-tropical-race-4.jpg,Tropical Race 4,http://www.agriculture.gov.au/pests-diseases-weeds/plant/panama-disease-tropical-race-4
19,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/19-potato-cyst-nematode.jpg,Potato Cyst Nematode,http://www.agriculture.gov.au/pests-diseases-weeds/plant/potato-cyst-nematode
20,"North, Central America and Caribbean, South America,","Larva to 3mm long, transparent to yellow in later stages,",Insect,South America,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/20-leaf-miner.jpg,Leaf miner,http://www.agriculture.gov.au/pests-diseases-weeds/plant/leaf-miner
21,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/21-fire-blight.jpg,Fire blight,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/fire-blight/
22,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/22-hessian-fly-barley-stem-gall-midge.jpg,Hessian fly/Barley stem gall midge,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/hessian-fly/
23,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/23-texas-root-rot.jpg,Texas root rot,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/texas-root-rot/
24,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/24-wheat-stem-sawfly.jpg,Wheat stem sawfly,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/sci_name/cephus-cinctus/
25,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/25-golden-apple-snail.jpg,Golden apple snail,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/golden-apple-snail/
26,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/26-barley-stripe-rust.jpg,Barley stripe rust,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/barley-stripe-rust/
27,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/27-cereal-cyst-nematode.jpg,Cereal cyst nematode,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/soybean-cyst-nematode/
28,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/28-sharka.jpg,Sharka,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/plum-pox-virus/
29,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/29-drywood-termite.jpg,Drywood termite,http://www.agriculture.gov.auhttps://www.daf.qld.gov.au/forestry/pests-and-diseases/termites
30,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/30-subterranean-termite.jpg,Subterranean termite,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/formosan-subterranean-termite/
31,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/31-citrus-longhorn-beetle.jpg,Citrus longhorn beetle,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/citrus-longicorn-beetle
32,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/32-red-ring-disease.png,Red ring disease/Pine wood nematode,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/pinewood-nematode
33,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/33-fusarium-wilt.jpg,Fusarium wilt,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/sci_name/fusarium-oxysporum-f-sp-vasinfectum/
34,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/34-sugarcane-stalk-borer.jpg,Sugarcane stalk borer,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/yellow-top-borer-of-sugarcane/
35,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/35-black-sigatoka.jpg,Black sigatoka,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/black-sigatoka/
36,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/36-potato-late-blight.png,Potato late blight,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/potato-late-blight/
37,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/37-sunn-pest.jpg,Sunn Pest,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/sci_name/eurogaster-integriceps/
38,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/38-western-plant-bug.jpg,Western/Tarnished plant bug,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/tarnished-plant-bug/
39,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/39-japanese-sawyer-beetle.jpg,Exotic sawyer beetles,http://www.agriculture.gov.au/import/arrival/pests/japanese-sawyer-beetle
40,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/40-burning-moth.jpg,Burning Moth,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/sci_name/hylesia-nigricans/
41,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/41-european-canker.png,European canker,http://www.agriculture.gov.auhttp://www.planthealthaustralia.com.au/pests/european-canker/
42,,,,,,,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/42-dutch-elm-disease.jpg,Dutch elm disease,http://www.agriculture.gov.au/pests-diseases-weeds/forestry-timber#field-guide-to-exotic-pests-and-diseases-dutch-elm-disease
